id_original,id_souldata,nombre_tripadvisor,nombre_souldata,link,score,n_reviews,description,categoria,subcategoría,departamento,ciudad,entra_analisis,entra_global,lat,long,geo_manual
151,150,Yeti Ice Bar,Yeti Ice Bar,/Attraction_Review-g312851-d9858544-Reviews-Yeti_Ice_Bar-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.0,437,Bars & Clubs,Prestadores turísticos,Comercio y gastronomía,Lago Argentino,El Calafate,1.0,1.0,-50.338547,-72.269424,0
152,151,La Tienda de Vinos,La Tienda de Vinos,/Attraction_Review-g312851-d1546200-Reviews-La_Tienda_de_Vinos-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,79,Coffeehouses â€¢ Wine Bars,Prestadores turísticos,Comercio y gastronomía,Lago Argentino,El Calafate,1.0,1.0,-50.339691,-72.266838,0
153,152,La Aldea de los Gnomos,La Aldea de los Gnomos,/Attraction_Review-g312851-d3405716-Reviews-La_Aldea_de_los_Gnomos-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.0,263,Speciality & Gift Shops,Prestadores turísticos,Comercio y gastronomía,Lago Argentino,El Calafate,1.0,1.0,-50.338215,-72.263229,0
154,153,GlacioBar,GlacioBar,/Attraction_Review-g312851-d6599580-Reviews-GlacioBar-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.0,325,Bars & Clubs,Prestadores turísticos,Comercio y gastronomía,Lago Argentino,El Calafate,1.0,1.0,-50.336506,-72.339775,0
155,154,Criollos Turismo,Criollos Turismo,/Attraction_Review-g312851-d15244603-Reviews-Criollos_Turismo-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,93,"4WD, ATV & Off-Road Tours â€¢ Boat Tours",Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.3378478,-72.2634147,1
156,155,Estancia Nibepo Aike,Estancia Nibepo Aike,/Attraction_Review-g312851-d4327683-Reviews-Estancia_Nibepo_Aike-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,117,Other Outdoor Activities,Prestadores turísticos,Turismo rural,Lago Argentino,El Calafate,1.0,1.0,-50.640348,-72.8648416,1
157,156,Azul Latina - El Calafate,Azul Latina - El Calafate,/Attraction_Review-g312851-d23695510-Reviews-Azul_Latina_El_Calafate-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,52,"4WD, ATV & Off-Road Tours â€¢ Nature & Wildlife Tours",Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
158,157,Patagonia Dreams,Patagonia Dreams,/Attraction_Review-g312851-d14913221-Reviews-Patagonia_Dreams-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.0,161,Taxis & Shuttles â€¢ Boat Tours,Prestadores turísticos,Transporte,Lago Argentino,El Calafate,1.0,1.0,-50.3385443,-72.2695406,1
159,158,SOUTHROAD,SouthRoad,/Attraction_Review-g312851-d17351625-Reviews-SOUTHROAD-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,97,"Multi-day Tours â€¢ 4WD, ATV & Off-Road Tours",Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.3383652,-72.2667634,1
160,159,Chalten Mountain Guides,Chalten Mountain Guides,/Attraction_Review-g316035-d10019292-Reviews-Chalten_Mountain_Guides-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,5.0,44,Ski & Snow Tours â€¢ Climbing Tours,Prestadores turísticos,Receptivos,,,,,-49.331021,-72.882339,1
